0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:38:38 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:38:38 +0900] "GET /myecsite/ HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:38:38 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:38:38 +0900] "GET /myecsite/ HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:38:38 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:38:39 +0900] "GET /myecsite/ HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:38:39 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:40:33 +0900] "GET /myecsite/ HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:40:33 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 973
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:40:34 +0900] "POST /myecsite/HomeAction HTTP/1.1" 404 1245
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:41:54 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:41:54 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:04 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:04 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:43:05 +0900] "GET /myecsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:04 +0900] "GET /myecsite/ HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:04 +0900] "GET /myecsite/css/style.css HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [28/Sep/2018:14:44:05 +0900] "GET /myecsite/ HTTP/1.1" 200 657
